period,year,month,quarter,continentId,continentName,value,quantity
2021-01,2021,1,1,1C,ทวีปอเมริกาเหนือ,1305719245.0,8901073.0
2021-01,2021,1,1,1A,ทวีปเอเชีย,2013362368.0,35425719.0
2021-01,2021,1,1,1B,ทวีปยุโรป,625578266.0,4450915.0
2021-01,2021,1,1,1F,ทวีปออสเตรเลีย,294132656.0,3591418.0
2021-01,2021,1,1,1E,ทวีปแอฟริกา,6518848.0,156013.0
2021-01,2021,1,1,1D,ทวีปอเมริกาใต้,8653189.0,67899.0
2021-02,2021,2,1,1C,ทวีปอเมริกาเหนือ,1405053862.0,9181348.0
2021-02,2021,2,1,1A,ทวีปเอเชีย,2014543685.0,35316587.0
2021-02,2021,2,1,1F,ทวีปออสเตรเลีย,351930401.0,3982300.0
2021-02,2021,2,1,1B,ทวีปยุโรป,646706854.0,4571445.0
2021-02,2021,2,1,1D,ทวีปอเมริกาใต้,11100089.0,78899.0
2021-02,2021,2,1,1E,ทวีปแอฟริกา,8767320.0,187876.0
2021-03,2021,3,1,1C,ทวีปอเมริกาเหนือ,1737524493.0,11413133.0
2021-03,2021,3,1,1A,ทวีปเอเชีย,2755315653.0,46505519.0
2021-03,2021,3,1,1F,ทวีปออสเตรเลีย,411653023.0,4832477.0
2021-03,2021,3,1,1B,ทวีปยุโรป,933092798.0,6634506.0
2021-03,2021,3,1,1D,ทวีปอเมริกาใต้,29108404.0,219601.0
2021-03,2021,3,1,1E,ทวีปแอฟริกา,12932526.0,290427.0
2021-04,2021,4,2,1C,ทวีปอเมริกาเหนือ,1564496220.0,9786795.0
2021-04,2021,4,2,1A,ทวีปเอเชีย,2230126351.0,35813686.0
2021-04,2021,4,2,1B,ทวีปยุโรป,722261796.0,5081748.0
2021-04,2021,4,2,1F,ทวีปออสเตรเลีย,338527715.0,3446324.0
2021-04,2021,4,2,1D,ทวีปอเมริกาใต้,6927986.0,24240.0
2021-04,2021,4,2,1E,ทวีปแอฟริกา,7504065.0,145906.0
2021-05,2021,5,2,1C,ทวีปอเมริกาเหนือ,1516124131.0,9422678.0
2021-05,2021,5,2,1A,ทวีปเอเชีย,2491137300.0,42377861.0
