period,year,month,quarter,countryId,countryCode,countryName,continentId,continentName,value,quantity
2021-01,2021,1,1,373,US,สหรัฐอเมริกา,1C,ทวีปอเมริกาเหนือ,1264614267.0,8569401.0
2021-01,2021,1,1,304,JP,ญี่ปุ่น,1A,ทวีปเอเชีย,699905410.0,9818050.0
2021-01,2021,1,1,271,MY,มาเลเซีย,1A,ทวีปเอเชีย,327094048.0,8084910.0
2021-01,2021,1,1,323,IT,อิตาลี,1B,ทวีปยุโรป,276500802.0,1920886.0
2021-01,2021,1,1,483,AU,ออสเตรเลีย,1F,ทวีปออสเตรเลีย,265976967.0,3144110.0
2021-01,2021,1,1,267,ID,อินโดนีเซีย,1A,ทวีปเอเชีย,158540170.0,3785130.0
2021-01,2021,1,1,309,TW,ไต้หวัน,1A,ทวีปเอเชีย,141995225.0,2150263.0
2021-01,2021,1,1,315,DE,เยอรมนี,1B,ทวีปยุโรป,137043963.0,1091990.0
2021-01,2021,1,1,272,PH,ฟิลิปปินส์,1A,ทวีปเอเชีย,125849751.0,3148077.0
2021-01,2021,1,1,279,IN,อินเดีย,1A,ทวีปเอเชีย,113530371.0,2447642.0
2021-01,2021,1,1,320,GB,สหราชอาณาจักร,1B,ทวีปยุโรป,102795149.0,713904.0
2021-01,2021,1,1,302,CN,จีน,1A,ทวีปเอเชีย,98523172.0,675274.0
2021-01,2021,1,1,306,KR,เกาหลีใต้,1A,ทวีปเอเชีย,67954693.0,675101.0
2021-01,2021,1,1,303,HK,ฮ่องกง,1A,ทวีปเอเชีย,57447961.0,529254.0
2021-01,2021,1,1,273,SG,สิงคโปร์,1A,ทวีปเอเชีย,53138587.0,486286.0
2021-01,2021,1,1,274,VN,เวียดนาม,1A,ทวีปเอเชีย,49376899.0,1163482.0
2021-01,2021,1,1,371,CA,แคนาดา,1C,ทวีปอเมริกาเหนือ,41104978.0,331672.0
2021-01,2021,1,1,319,FR,ฝรั่งเศส,1B,ทวีปยุโรป,30616696.0,188845.0
2021-01,2021,1,1,296,SA,ซาอุดีอาระเบีย,1A,ทวีปเอเชีย,30557204.0,521835.0
2021-01,2021,1,1,285,AE,สหรัฐอาหรับเอมิเรตส์,1A,ทวีปเอเชีย,27228996.0,444945.0
2021-01,2021,1,1,497,NZ,นิวซีแลนด์,1F,ทวีปออสเตรเลีย,25956994.0,384931.0
2021-01,2021,1,1,313,BE,เบลเยียม,1B,ทวีปยุโรป,24645113.0,156235.0
2021-01,2021,1,1,270,MM,เมียนมา,1A,ทวีปเอเชีย,20188325.0,628181.0
2021-01,2021,1,1,345,RU,รัสเซีย,1B,ทวีปยุโรป,15662137.0,109734.0
2021-01,2021,1,1,325,NL,เนเธอร์แลนด์,1B,ทวีปยุโรป,14619817.0,107763.0
2021-01,2021,1,1,266,BN,บรูไน,1A,ทวีปเอเชีย,12318047.0,365678.0
2021-01,2021,1,1,327,SE,สวีเดน,1B,ทวีปยุโรป,9987903.0,57014.0
2021-01,2021,1,1,288,IL,อิสราเอล,1A,ทวีปเอเชีย,6846687.0,34064.0
2021-01,2021,1,1,456,MU,มอริเชียส,1E,ทวีปแอฟริกา,5155878.0,113140.0
2021-01,2021,1,1,410,CL,ชิลี,1D,ทวีปอเมริกาใต้,4878519.0,41268.0
2021-01,2021,1,1,298,TR,ตุรกี,1A,ทวีปเอเชีย,4822799.0,34493.0
2021-01,2021,1,1,268,KH,กัมพูชา,1A,ทวีปเอเชีย,4199338.0,116229.0
2021-01,2021,1,1,318,FI,ฟินแลนด์,1B,ทวีปยุโรป,4138063.0,36447.0
2021-01,2021,1,1,409,BR,บราซิล,1D,ทวีปอเมริกาใต้,3774670.0,26631.0
2021-01,2021,1,1,280,LK,ศรีลังกา,1A,ทวีปเอเชีย,3418805.0,87715.0
2021-01,2021,1,1,269,LA,สปป. ลาว,1A,ทวีปเอเชีย,3117372.0,86537.0
2021-01,2021,1,1,365,MT,มอลตา,1B,ทวีปยุโรป,3110535.0,24526.0
2021-01,2021,1,1,283,PK,ปากีสถาน,1A,ทวีปเอเชีย,2729206.0,60521.0
2021-01,2021,1,1,317,ES,สเปน,1B,ทวีปยุโรป,2228827.0,16497.0
2021-01,2021,1,1,498,PF,เฟรนช์โปลีนีเซีย,1F,ทวีปออสเตรเลีย,2198695.0,62377.0
2021-01,2021,1,1,292,KW,คูเวต,1A,ทวีปเอเชีย,1558148.0,21886.0
2021-01,2021,1,1,356,CH,สวิตเซอร์แลนด์,1B,ทวีปยุโรป,1470469.0,8576.0
2021-01,2021,1,1,351,UA,ยูเครน,1B,ทวีปยุโรป,1448427.0,9418.0
2021-01,2021,1,1,286,BH,บาห์เรน,1A,ทวีปเอเชีย,1442140.0,18885.0
2021-01,2021,1,1,362,LT,ลิทัวเนีย,1B,ทวีปยุโรป,993613.0,7832.0
2021-01,2021,1,1,277,BD,บังกลาเทศ,1A,ทวีปเอเชีย,795928.0,19424.0
2021-01,2021,1,1,478,ZA,แอฟริกาใต้,1E,ทวีปแอฟริกา,693076.0,18800.0
2021-01,2021,1,1,476,TZ,แทนซาเนีย,1E,ทวีปแอฟริกา,659769.0,24010.0
2021-01,2021,1,1,291,JO,จอร์แดน,1A,ทวีปเอเชีย,501862.0,11477.0
2021-01,2021,1,1,343,PL,โปแลนด์,1B,ทวีปยุโรป,316752.0,1248.0
2021-01,2021,1,1,295,QA,กาตาร์,1A,ทวีปเอเชีย,281224.0,10380.0
2021-01,2021,1,1,465,SC,เซเชลส์,1E,ทวีปแอฟริกา,10125.0,63.0
2021-02,2021,2,1,373,US,สหรัฐอเมริกา,1C,ทวีปอเมริกาเหนือ,1312482356.0,8500193.0
2021-02,2021,2,1,304,JP,ญี่ปุ่น,1A,ทวีปเอเชีย,741741783.0,10158716.0
2021-02,2021,2,1,271,MY,มาเลเซีย,1A,ทวีปเอเชีย,312648124.0,7090707.0
2021-02,2021,2,1,483,AU,ออสเตรเลีย,1F,ทวีปออสเตรเลีย,312422047.0,3516863.0
2021-02,2021,2,1,323,IT,อิตาลี,1B,ทวีปยุโรป,243911062.0,1710360.0
2021-02,2021,2,1,267,ID,อินโดนีเซีย,1A,ทวีปเอเชีย,163236580.0,3835093.0
2021-02,2021,2,1,315,DE,เยอรมนี,1B,ทวีปยุโรป,142189280.0,1031976.0
2021-02,2021,2,1,272,PH,ฟิลิปปินส์,1A,ทวีปเอเชีย,144469742.0,3450884.0
2021-02,2021,2,1,309,TW,ไต้หวัน,1A,ทวีปเอเชีย,126782028.0,2532705.0
2021-02,2021,2,1,279,IN,อินเดีย,1A,ทวีปเอเชีย,126786851.0,2687703.0
2021-02,2021,2,1,320,GB,สหราชอาณาจักร,1B,ทวีปยุโรป,128014097.0,953098.0
2021-02,2021,2,1,302,CN,จีน,1A,ทวีปเอเชีย,99933127.0,827455.0
2021-02,2021,2,1,306,KR,เกาหลีใต้,1A,ทวีปเอเชีย,70510455.0,643456.0
2021-02,2021,2,1,371,CA,แคนาดา,1C,ทวีปอเมริกาเหนือ,92571506.0,681155.0
2021-02,2021,2,1,273,SG,สิงคโปร์,1A,ทวีปเอเชีย,46747509.0,448433.0
2021-02,2021,2,1,303,HK,ฮ่องกง,1A,ทวีปเอเชีย,40027825.0,469416.0
2021-02,2021,2,1,274,VN,เวียดนาม,1A,ทวีปเอเชีย,44042617.0,1020679.0
2021-02,2021,2,1,319,FR,ฝรั่งเศส,1B,ทวีปยุโรป,34815120.0,230350.0
2021-02,2021,2,1,497,NZ,นิวซีแลนด์,1F,ทวีปออสเตรเลีย,38858072.0,445577.0
2021-02,2021,2,1,285,AE,สหรัฐอาหรับเอมิเรตส์,1A,ทวีปเอเชีย,35410085.0,682864.0
2021-02,2021,2,1,313,BE,เบลเยียม,1B,ทวีปยุโรป,30761622.0,185361.0
2021-02,2021,2,1,296,SA,ซาอุดีอาระเบีย,1A,ทวีปเอเชีย,17031243.0,314953.0
2021-02,2021,2,1,325,NL,เนเธอร์แลนด์,1B,ทวีปยุโรป,31690434.0,223323.0
2021-02,2021,2,1,270,MM,เมียนมา,1A,ทวีปเอเชีย,19871174.0,652780.0
2021-02,2021,2,1,345,RU,รัสเซีย,1B,ทวีปยุโรป,19698612.0,127132.0
2021-02,2021,2,1,266,BN,บรูไน,1A,ทวีปเอเชีย,11925538.0,236867.0
2021-02,2021,2,1,409,BR,บราซิล,1D,ทวีปอเมริกาใต้,11100089.0,78899.0
2021-02,2021,2,1,288,IL,อิสราเอล,1A,ทวีปเอเชีย,4676351.0,51167.0
2021-02,2021,2,1,327,SE,สวีเดน,1B,ทวีปยุโรป,1000037.0,12236.0
2021-02,2021,2,1,456,MU,มอริเชียส,1E,ทวีปแอฟริกา,3708663.0,78637.0
2021-02,2021,2,1,268,KH,กัมพูชา,1A,ทวีปเอเชีย,3091211.0,86273.0
2021-02,2021,2,1,318,FI,ฟินแลนด์,1B,ทวีปยุโรป,2350937.0,13853.0
2021-02,2021,2,1,365,MT,มอลตา,1B,ทวีปยุโรป,2708404.0,26328.0
2021-02,2021,2,1,269,LA,สปป. ลาว,1A,ทวีปเอเชีย,2611159.0,81385.0
2021-02,2021,2,1,362,LT,ลิทัวเนีย,1B,ทวีปยุโรป,4613282.0,22806.0
2021-02,2021,2,1,478,ZA,แอฟริกาใต้,1E,ทวีปแอฟริกา,4278809.0,82269.0
2021-02,2021,2,1,410,CL,ชิลี,1D,ทวีปอเมริกาใต้,0.0,0.0
2021-02,2021,2,1,298,TR,ตุรกี,1A,ทวีปเอเชีย,0.0,0.0
2021-02,2021,2,1,280,LK,ศรีลังกา,1A,ทวีปเอเชีย,684685.0,13827.0
2021-02,2021,2,1,283,PK,ปากีสถาน,1A,ทวีปเอเชีย,481400.0,8593.0
2021-02,2021,2,1,317,ES,สเปน,1B,ทวีปยุโรป,788032.0,6218.0
2021-02,2021,2,1,292,KW,คูเวต,1A,ทวีปเอเชีย,940112.0,5808.0
2021-02,2021,2,1,356,CH,สวิตเซอร์แลนด์,1B,ทวีปยุโรป,760876.0,4320.0
2021-02,2021,2,1,498,PF,เฟรนช์โปลีนีเซีย,1F,ทวีปออสเตรเลีย,0.0,0.0
2021-02,2021,2,1,312,AT,ออสเตรีย,1B,ทวีปยุโรป,1748976.0,11424.0
2021-02,2021,2,1,351,UA,ยูเครน,1B,ทวีปยุโรป,0.0,0.0
2021-02,2021,2,1,286,BH,บาห์เรน,1A,ทวีปเอเชีย,0.0,0.0
2021-02,2021,2,1,476,TZ,แทนซาเนีย,1E,ทวีปแอฟริกา,729348.0,23655.0
2021-02,2021,2,1,344,RO,โรมาเนีย,1B,ทวีปยุโรป,1278195.0,9271.0
2021-02,2021,2,1,277,BD,บังกลาเทศ,1A,ทวีปเอเชีย,182898.0,2423.0
2021-02,2021,2,1,343,PL,โปแลนด์,1B,ทวีปยุโรป,375215.0,3388.0
2021-02,2021,2,1,493,NC,นิวแคลีโดเนีย,1F,ทวีปออสเตรเลีย,650282.0,19860.0
2021-02,2021,2,1,291,JO,จอร์แดน,1A,ทวีปเอเชีย,0.0,0.0
2021-02,2021,2,1,293,LB,เลบานอน,1A,ทวีปเอเชีย,473851.0,10837.0
2021-02,2021,2,1,295,QA,กาตาร์,1A,ทวีปเอเชีย,250.0,1.0
2021-02,2021,2,1,337,GE,จอร์เจีย,1A,ทวีปเอเชีย,169751.0,959.0
2021-02,2021,2,1,281,MV,มัลดีฟส์,1A,ทวีปเอเชีย,67336.0,2603.0
2021-02,2021,2,1,465,SC,เซเชลส์,1E,ทวีปแอฟริกา,50500.0,3315.0
2021-02,2021,2,1,336,CZ,สาธารณรัฐเช็ก,1B,ทวีปยุโรป,2673.0,1.0
2021-03,2021,3,1,373,US,สหรัฐอเมริกา,1C,ทวีปอเมริกาเหนือ,1641126439.0,10787219.0
2021-03,2021,3,1,304,JP,ญี่ปุ่น,1A,ทวีปเอเชีย,946962442.0,12380767.0
2021-03,2021,3,1,271,MY,มาเลเซีย,1A,ทวีปเอเชีย,342725115.0,8010814.0
2021-03,2021,3,1,483,AU,ออสเตรเลีย,1F,ทวีปออสเตรเลีย,352709575.0,3946483.0
2021-03,2021,3,1,323,IT,อิตาลี,1B,ทวีปยุโรป,408105001.0,2836291.0
2021-03,2021,3,1,267,ID,อินโดนีเซีย,1A,ทวีปเอเชีย,270298057.0,6500734.0
2021-03,2021,3,1,272,PH,ฟิลิปปินส์,1A,ทวีปเอเชีย,197077331.0,4578112.0
2021-03,2021,3,1,309,TW,ไต้หวัน,1A,ทวีปเอเชีย,198202419.0,3639825.0
2021-03,2021,3,1,315,DE,เยอรมนี,1B,ทวีปยุโรป,158870399.0,1317655.0
2021-03,2021,3,1,302,CN,จีน,1A,ทวีปเอเชีย,215917303.0,1714098.0
2021-03,2021,3,1,279,IN,อินเดีย,1A,ทวีปเอเชีย,152518499.0,3024650.0
2021-03,2021,3,1,320,GB,สหราชอาณาจักร,1B,ทวีปยุโรป,131110727.0,890295.0
2021-03,2021,3,1,371,CA,แคนาดา,1C,ทวีปอเมริกาเหนือ,96248311.0,625476.0
2021-03,2021,3,1,306,KR,เกาหลีใต้,1A,ทวีปเอเชีย,90695844.0,838976.0
2021-03,2021,3,1,313,BE,เบลเยียม,1B,ทวีปยุโรป,117726227.0,795535.0
2021-03,2021,3,1,303,HK,ฮ่องกง,1A,ทวีปเอเชีย,63950645.0,601787.0
2021-03,2021,3,1,273,SG,สิงคโปร์,1A,ทวีปเอเชีย,59426251.0,605387.0
2021-03,2021,3,1,274,VN,เวียดนาม,1A,ทวีปเอเชีย,48071996.0,1139666.0
2021-03,2021,3,1,497,NZ,นิวซีแลนด์,1F,ทวีปออสเตรเลีย,56899643.0,828385.0
2021-03,2021,3,1,319,FR,ฝรั่งเศส,1B,ทวีปยุโรป,51343547.0,332565.0
2021-03,2021,3,1,285,AE,สหรัฐอาหรับเอมิเรตส์,1A,ทวีปเอเชีย,43314457.0,797335.0
2021-03,2021,3,1,296,SA,ซาอุดีอาระเบีย,1A,ทวีปเอเชีย,27431786.0,436415.0
2021-03,2021,3,1,270,MM,เมียนมา,1A,ทวีปเอเชีย,23674288.0,761647.0
2021-03,2021,3,1,325,NL,เนเธอร์แลนด์,1B,ทวีปยุโรป,13903316.0,103591.0
2021-03,2021,3,1,345,RU,รัสเซีย,1B,ทวีปยุโรป,23303312.0,160435.0
2021-03,2021,3,1,266,BN,บรูไน,1A,ทวีปเอเชีย,16707292.0,398861.0
2021-03,2021,3,1,409,BR,บราซิล,1D,ทวีปอเมริกาใต้,25177013.0,181465.0
2021-03,2021,3,1,327,SE,สวีเดน,1B,ทวีปยุโรป,12457019.0,68763.0
2021-03,2021,3,1,283,PK,ปากีสถาน,1A,ทวีปเอเชีย,17306744.0,348603.0
2021-03,2021,3,1,288,IL,อิสราเอล,1A,ทวีปเอเชีย,8624547.0,58884.0
2021-03,2021,3,1,456,MU,มอริเชียส,1E,ทวีปแอฟริกา,5413109.0,122336.0
2021-03,2021,3,1,298,TR,ตุรกี,1A,ทวีปเอเชีย,9047747.0,106645.0
2021-03,2021,3,1,268,KH,กัมพูชา,1A,ทวีปเอเชีย,4474491.0,101640.0
2021-03,2021,3,1,478,ZA,แอฟริกาใต้,1E,ทวีปแอฟริกา,6065578.0,126076.0
2021-03,2021,3,1,318,FI,ฟินแลนด์,1B,ทวีปยุโรป,3396668.0,27630.0
2021-03,2021,3,1,280,LK,ศรีลังกา,1A,ทวีปเอเชีย,5776235.0,139166.0
2021-03,2021,3,1,269,LA,สปป. ลาว,1A,ทวีปเอเชีย,3335441.0,97864.0
2021-03,2021,3,1,410,CL,ชิลี,1D,ทวีปอเมริกาใต้,3781648.0,37698.0
2021-03,2021,3,1,365,MT,มอลตา,1B,ทวีปยุโรป,2567483.0,26412.0
2021-03,2021,3,1,362,LT,ลิทัวเนีย,1B,ทวีปยุโรป,1183443.0,9679.0
2021-03,2021,3,1,292,KW,คูเวต,1A,ทวีปเอเชีย,4174503.0,74387.0
2021-03,2021,3,1,356,CH,สวิตเซอร์แลนด์,1B,ทวีปยุโรป,2962353.0,17472.0
2021-03,2021,3,1,317,ES,สเปน,1B,ทวีปยุโรป,1581833.0,11580.0
2021-03,2021,3,1,498,PF,เฟรนช์โปลีนีเซีย,1F,ทวีปออสเตรเลีย,2043805.0,57609.0
2021-03,2021,3,1,286,BH,บาห์เรน,1A,ทวีปเอเชีย,2417785.0,52498.0
2021-03,2021,3,1,351,UA,ยูเครน,1B,ทวีปยุโรป,1275146.0,7853.0
2021-03,2021,3,1,316,DK,เดนมาร์ก,1B,ทวีปยุโรป,2395828.0,18355.0
2021-03,2021,3,1,476,TZ,แทนซาเนีย,1E,ทวีปแอฟริกา,799349.0,24521.0
2021-03,2021,3,1,277,BD,บังกลาเทศ,1A,ทวีปเอเชีย,772221.0,17064.0
