period,year,month,quarter,value,quantity,ytdValue,ytdQuantity
2021-01,2021,1,1,4253964572.0,52593037.0,4253964572.0,52593037.0
2021-02,2021,2,1,4438102211.0,53318455.0,8692066783.0,105911492.0
2021-03,2021,3,1,5879626897.0,69895663.0,14571693680.0,175807155.0
2021-04,2021,4,2,4869844133.0,54298699.0,19441537813.0,230105854.0
2021-05,2021,5,2,5272532005.0,62029490.0,24714069818.0,292135344.0
2021-06,2021,6,2,5530456176.0,60950323.0,30244525994.0,353085667.0
2021-07,2021,7,3,4893902966.0,56112932.0,35138428960.0,409198599.0
2021-08,2021,8,3,5310904484.0,56023386.0,40449333444.0,465221985.0
2021-09,2021,9,3,5831419505.0,61075019.0,46280752949.0,526297004.0
2021-10,2021,10,4,5958456408.0,61227975.0,52239209357.0,587524979.0
2021-11,2021,11,4,6578454270.0,66287952.0,58817663627.0,653812931.0
2021-12,2021,12,4,6573775986.0,66982312.0,65391439613.0,720795243.0
2022-01,2022,1,1,6221654711.0,63261170.0,6221654711.0,63261170.0
2022-02,2022,2,1,7076600633.0,70508101.0,13298255344.0,133769271.0
2022-03,2022,3,1,7511180678.0,76342287.0,20809436022.0,210111558.0
2022-04,2022,4,2,6804155602.0,66652158.0,27613591624.0,276763716.0
2022-05,2022,5,2,7491139003.0,73654686.0,35104730627.0,350418402.0
2022-06,2022,6,2,7487227784.0,71994848.0,42591958411.0,422413250.0
2022-07,2022,7,3,7490893708.0,71997066.0,50082852119.0,494410316.0
2022-08,2022,8,3,7933230929.0,73623332.0,58016083048.0,568033648.0
2022-09,2022,9,3,7259069140.0,70454895.0,65275152188.0,638488543.0
2022-10,2022,10,4,6842816417.0,63184456.0,72117968605.0,701672999.0
2022-11,2022,11,4,6880464911.0,61354741.0,78998433516.0,763027740.0
2022-12,2022,12,4,6212942763.0,55251285.0,85211376279.0,818279025.0
2023-01,2023,1,1,5575143749.0,57234455.0,5575143749.0,57234455.0
2023-02,2023,2,1,5165398776.0,56406609.0,10740542525.0,113641064.0
2023-03,2023,3,1,5722474518.0,59965665.0,16463017043.0,173606729.0
2023-04,2023,4,2,4345092763.0,46761106.0,20808109806.0,220367835.0
2023-05,2023,5,2,5576349502.0,57165205.0,26384459308.0,277533040.0
2023-06,2023,6,2,5846916004.0,58443831.0,32231375312.0,335976871.0
2023-07,2023,7,3,6236184265.0,59872307.0,38467559577.0,395849178.0
2023-08,2023,8,3,6393727688.0,60942477.0,44861287265.0,456791655.0
2023-09,2023,9,3,6513904840.0,58281733.0,51375192105.0,515073388.0
2023-10,2023,10,4,7002239852.0,62084444.0,58377431957.0,577157832.0
2023-11,2023,11,4,6924926914.0,60552599.0,65302358871.0,637710431.0
2023-12,2023,12,4,6947074978.0,60702446.0,72249433849.0,698412877.0
2024-01,2024,1,1,6482119071.0,58269261.0,6482119071.0,58269261.0
2024-02,2024,2,1,7266492043.0,65030553.0,13748611114.0,123299814.0
2024-03,2024,3,1,8250865594.0,73894244.0,21999476708.0,197194058.0
2024-04,2024,4,2,7522900112.0,65532423.0,29522376820.0,262726481.0
2024-05,2024,5,2,8729504911.0,74934159.0,38251881731.0,337660640.0
2024-06,2024,6,2,7614671400.0,67864540.0,45866553131.0,405525180.0
2024-07,2024,7,3,8697094433.0,74218762.0,54563647564.0,479743942.0
2024-08,2024,8,3,8898553466.0,74391476.0,63462201030.0,554135418.0
2024-09,2024,9,3,8017152694.0,71620674.0,71479353724.0,625756092.0
2024-10,2024,10,4,7601211563.0,68366191.0,79080565287.0,694122283.0
2024-11,2024,11,4,7674123330.0,70043791.0,86754688617.0,764166074.0
2024-12,2024,12,4,7593403023.0,65605934.0,94348091640.0,829772008.0
2025-01,2025,1,1,7226454981.0,63463098.0,7226454981.0,63463098.0
2025-02,2025,2,1,7953439541.0,68648384.0,15179894522.0,132111482.0
2025-03,2025,3,1,8777971157.0,78220437.0,23957865679.0,210331919.0
2025-04,2025,4,2,7793000929.0,68352039.0,31750866608.0,278683958.0
2025-05,2025,5,2,8411961543.0,72944209.0,40162828151.0,351628167.0
2025-06,2025,6,2,7507801955.0,66359872.0,47670630106.0,417988039.0
2025-07,2025,7,3,8463442707.0,76570212.0,56134072813.0,494558251.0
2025-08,2025,8,3,7418519465.0,66997291.0,63552592278.0,561555542.0
2025-09,2025,9,3,7719639170.0,69953200.0,71272231448.0,631508742.0
2025-10,2025,10,4,7860027883.0,69874623.0,79132259331.0,701383365.0
2025-11,2025,11,4,7601595350.0,66074128.0,86733854681.0,767457493.0
2025-12,2025,12,4,8486621746.0,74679498.0,95220476427.0,842136991.0
2026-01,2026,1,1,7146505554.0,65364498.0,7146505554.0,65364498.0
2026-02,2026,2,1,7768119620.0,70961988.0,14914625174.0,136326486.0
2026-03,2026,3,1,8451503401.0,76433123.0,23366128575.0,212759609.0
2026-04,2026,4,2,8087180222.0,72744061.0,31453308797.0,285503670.0
2026-05,2026,5,2,8457403129.0,75284872.0,39910711926.0,360788542.0
2026-06,2026,6,2,9251467859.0,82556259.0,49162179785.0,443344801.0
